Provinsi,Tahun,Produktivitas
Lampung,1994,37.93
Kepulauan Bangka Belitung,1994,0
Kepulauan Riau,1994,0
Daerah Khusus Ibukota Jakarta,1994,47.81
Jawa Barat,1994,50.3
Jawa Tengah,1994,51.54
Daerah Istimewa Yogyakarta,1994,47.36
Jawa Timur,1994,52.6
Banten,1994,0
Bali,1994,52.45
Nusa Tenggara Barat,1994,43.81
Nusa Tenggara Timur,1994,25.99
Kalimantan Barat,1994,23.34
Kalimantan Tengah,1994,20.04
Kalimantan Selatan,1994,28.77
Kalimantan Timur,1994,23.23
Kalimantan Utara,1994,0
Sulawesi Utara,1994,40.23
Sulawesi Tengah,1994,32.41
Sulawesi Selatan,1994,43.61
Sulawesi Tenggara,1994,30.66
Gorontalo,1994,0
Sulawesi Barat,1994,0
Maluku,1994,24.64
Maluku Utara,1994,0
Papua Barat,1994,0
Papua,1994,25.86
Aceh,1995,40.33
Sumatera Utara,1995,39.42
Sumatera Barat,1995,45.66
Riau,1995,30.14
Jambi,1995,30.65
Sumatera Selatan,1995,31.64
Bengkulu,1995,32.55
Lampung,1995,37.79
Kepulauan Bangka Belitung,1995,0
Kepulauan Riau,1995,0
Daerah Khusus Ibukota Jakarta,1995,48.2
Jawa Barat,1995,50.44
Jawa Tengah,1995,51.66
Daerah Istimewa Yogyakarta,1995,47.44
Jawa Timur,1995,52.68
Banten,1995,0
Bali,1995,52.69
Nusa Tenggara Barat,1995,43.72
Nusa Tenggara Timur,1995,26.27
Kalimantan Barat,1995,23.64
Kalimantan Tengah,1995,20.51
Kalimantan Selatan,1995,29.96
Kalimantan Timur,1995,23.78
Kalimantan Utara,1995,0
Sulawesi Utara,1995,40.17
Sulawesi Tengah,1995,32.55
Sulawesi Selatan,1995,43.83
Sulawesi Tenggara,1995,31.65
Gorontalo,1995,0
Sulawesi Barat,1995,0
Maluku,1995,23.65
Maluku Utara,1995,0
Papua Barat,1995,0
Papua,1995,25.21
Aceh,1996,40.75
Sumatera Utara,1996,39.7
Sumatera Barat,1996,45.8
Riau,1996,30.72
Jambi,1996,30.45
Sumatera Selatan,1996,33.6
Bengkulu,1996,32.56
Lampung,1996,38.27
Kepulauan Bangka Belitung,1996,0
Kepulauan Riau,1996,0
Daerah Khusus Ibukota Jakarta,1996,48.51
Jawa Barat,1996,50.72
Jawa Tengah,1996,52.02
Daerah Istimewa Yogyakarta,1996,48.12
Jawa Timur,1996,53.2
Banten,1996,0
Bali,1996,53.15
Nusa Tenggara Barat,1996,43.88
Nusa Tenggara Timur,1996,26.43
Kalimantan Barat,1996,24.58
Kalimantan Tengah,1996,22.06
Kalimantan Selatan,1996,29.94
Kalimantan Timur,1996,25.91
Kalimantan Utara,1996,0
Sulawesi Utara,1996,40.5
Sulawesi Tengah,1996,33.03
Sulawesi Selatan,1996,47.12
Sulawesi Tenggara,1996,32.36
Gorontalo,1996,0
Sulawesi Barat,1996,0
Maluku,1996,26.25
Maluku Utara,1996,0
Papua Barat,1996,0
Papua,1996,24.75
Aceh,1997,40.97
Sumatera Utara,1997,40.28
Sumatera Barat,1997,45.18
Riau,1997,30.16
Jambi,1997,30.02
Sumatera Selatan,1997,33.59
Bengkulu,1997,33.54
Lampung,1997,38.62
Kepulauan Bangka Belitung,1997,0
Kepulauan Riau,1997,0
Daerah Khusus Ibukota Jakarta,1997,49.24
Jawa Barat,1997,50.73
Jawa Tengah,1997,52.15
Daerah Istimewa Yogyakarta,1997,48.22
Jawa Timur,1997,53.15
Banten,1997,0
Bali,1997,53.46
Nusa Tenggara Barat,1997,43.93
Nusa Tenggara Timur,1997,26.39
Kalimantan Barat,1997,24.12
Kalimantan Tengah,1997,21.4
Kalimantan Selatan,1997,30.66
Kalimantan Timur,1997,26.27
Kalimantan Utara,1997,0
Sulawesi Utara,1997,40.77
Sulawesi Tengah,1997,33.46
Sulawesi Selatan,1997,46.86
Sulawesi Tenggara,1997,32.49
Gorontalo,1997,0
Sulawesi Barat,1997,0
Maluku,1997,26.34
Maluku Utara,1997,0
Papua Barat,1997,0
Papua,1997,24.99
Aceh,1998,40.64
Sumatera Utara,1998,40.32
Sumatera Barat,1998,43.79
Riau,1998,29.31
Jambi,1998,30.78
Sumatera Selatan,1998,31.06
Bengkulu,1998,33.78
Lampung,1998,37.88
Kepulauan Bangka Belitung,1998,0
Kepulauan Riau,1998,0
Daerah Khusus Ibukota Jakarta,1998,47.91
Jawa Barat,1998,44.93
Jawa Tengah,1998,50.14
Daerah Istimewa Yogyakarta,1998,45.12
Jawa Timur,1998,50.62
Banten,1998,0
Bali,1998,53.18
Nusa Tenggara Barat,1998,42.38
Nusa Tenggara Timur,1998,26.11
Kalimantan Barat,1998,23.68
Kalimantan Tengah,1998,19.98
Kalimantan Selatan,1998,26.34
Kalimantan Timur,1998,27.74
Kalimantan Utara,1998,0
Sulawesi Utara,1998,36.84
Sulawesi Tengah,1998,31.44
Sulawesi Selatan,1998,41.97
Sulawesi Tenggara,1998,31.58
Gorontalo,1998,0
Sulawesi Barat,1998,0
Maluku,1998,24.81
Maluku Utara,1998,0
Papua Barat,1998,0
Papua,1998,24.92
Aceh,1999,41.1
Sumatera Utara,1999,41.16
Sumatera Barat,1999,43.9
Riau,1999,29.65
Jambi,1999,31.05
Sumatera Selatan,1999,33.73
Bengkulu,1999,33.24
Lampung,1999,37.77
Kepulauan Bangka Belitung,1999,0
Kepulauan Riau,1999,0
Daerah Khusus Ibukota Jakarta,1999,48.64
Jawa Barat,1999,45.81
Jawa Tengah,1999,49.41
Daerah Istimewa Yogyakarta,1999,45.51
Jawa Timur,1999,50.93
Banten,1999,0
Bali,1999,54.03
Nusa Tenggara Barat,1999,43.19
Nusa Tenggara Timur,1999,27.44
Kalimantan Barat,1999,24.69
Kalimantan Tengah,1999,21.77
Kalimantan Selatan,1999,30.46
Kalimantan Timur,1999,27.82
Kalimantan Utara,1999,0
Sulawesi Utara,1999,42.21
Sulawesi Tengah,1999,34.21
Sulawesi Selatan,1999,42.9
Sulawesi Tenggara,1999,34.69
Gorontalo,1999,0
Sulawesi Barat,1999,0
Maluku,1999,24.82
Maluku Utara,1999,0
Papua Barat,1999,0
Papua,1999,28.08
Aceh,2000,41.71
Sumatera Utara,2000,41.46
Sumatera Barat,2000,44.32
Riau,2000,30.45
Jambi,2000,31.32
Sumatera Selatan,2000,33.55
Bengkulu,2000,33.38
Lampung,2000,39.17
Kepulauan Bangka Belitung,2000,0
Kepulauan Riau,2000,0
Daerah Khusus Ibukota Jakarta,2000,45.69
Jawa Barat,2000,0
Jawa Tengah,2000,0
Daerah Istimewa Yogyakarta,2000,47.46
Jawa Timur,2000,52.59
Banten,2000,0
Bali,2000,53.33
Nusa Tenggara Barat,2000,43.69
Nusa Tenggara Timur,2000,26.18
Kalimantan Barat,2000,25.01
Kalimantan Tengah,2000,22.44
Kalimantan Selatan,2000,30.77
Kalimantan Timur,2000,29.05
Kalimantan Utara,2000,0
Sulawesi Utara,2000,42.31
Sulawesi Tengah,2000,35.81
Sulawesi Selatan,2000,45.39
Sulawesi Tenggara,2000,36.71
Gorontalo,2000,0
Sulawesi Barat,2000,0
Maluku,2000,24.49
Maluku Utara,2000,0
Papua Barat,2000,0
Papua,2000,27.97
Aceh,2001,42.23
Sumatera Utara,2001,41.04
Sumatera Barat,2001,44.3
Riau,2001,31.2
Jambi,2001,33.77
Sumatera Selatan,2001,33.67
Bengkulu,2001,35.83
Lampung,2001,39.77
Kepulauan Bangka Belitung,2001,23.04
Kepulauan Riau,2001,0
Daerah Khusus Ibukota Jakarta,2001,50.3
Jawa Barat,2001,0
Jawa Tengah,2001,0
Daerah Istimewa Yogyakarta,2001,48.22
Jawa Timur,2001,50.76
Banten,2001,42.78
Bali,2001,53.35
Nusa Tenggara Barat,2001,44.11
Nusa Tenggara Timur,2001,27.05
Kalimantan Barat,2001,26.02
Kalimantan Tengah,2001,23.9
Kalimantan Selatan,2001,32.85
Kalimantan Timur,2001,29.23
Kalimantan Utara,2001,0
Sulawesi Utara,2001,43.01
Sulawesi Tengah,2001,35.51
Sulawesi Selatan,2001,45.07
Sulawesi Tenggara,2001,36.85
Gorontalo,2001,44.58
Sulawesi Barat,2001,0
Maluku,2001,23.29
Maluku Utara,2001,0
Papua Barat,2001,0
Papua,2001,30.76
Aceh,2002,41.7
Sumatera Utara,2002,41.21
Sumatera Barat,2002,44.21
Riau,2002,30.74
Jambi,2002,33.85
Sumatera Selatan,2002,33.82
Bengkulu,2002,34.68
Lampung,2002,41.04
Kepulauan Bangka Belitung,2002,22.94
Kepulauan Riau,2002,0
Daerah Khusus Ibukota Jakarta,2002,48.68
Jawa Barat,2002,0
Jawa Tengah,2002,0
Daerah Istimewa Yogyakarta,2002,48.47
Jawa Timur,2002,52.2
Banten,2002,43.37
Bali,2002,54.42
Nusa Tenggara Barat,2002,44.06
Nusa Tenggara Timur,2002,28.22
Kalimantan Barat,2002,28.44
Kalimantan Tengah,2002,25.04
Kalimantan Selatan,2002,31.94
Kalimantan Timur,2002,28.89
Kalimantan Utara,2002,0
Sulawesi Utara,2002,43.06
Sulawesi Tengah,2002,37.86
Sulawesi Selatan,2002,46.47
Sulawesi Tenggara,2002,37.7
Gorontalo,2002,44.22
Sulawesi Barat,2002,0
Maluku,2002,26.54
Maluku Utara,2002,0
Papua Barat,2002,0
Papua,2002,29.96
Aceh,2003,42.09
Sumatera Utara,2003,41.24
Sumatera Barat,2003,44.28
Riau,2003,31.17
Jambi,2003,36.27
Sumatera Selatan,2003,34.69
Bengkulu,2003,37.39
Lampung,2003,41.6
Kepulauan Bangka Belitung,2003,23.25
Kepulauan Riau,2003,0
Daerah Khusus Ibukota Jakarta,2003,43.84
Jawa Barat,2003,0
Jawa Tengah,2003,0
Daerah Istimewa Yogyakarta,2003,49.91
Jawa Timur,2003,52.58
Banten,2003,48.61
Bali,2003,54.6
Nusa Tenggara Barat,2003,44.53
Nusa Tenggara Timur,2003,28.88
Kalimantan Barat,2003,29.06
Kalimantan Tengah,2003,25.1
Kalimantan Selatan,2003,32.16
Kalimantan Timur,2003,31.68
Kalimantan Utara,2003,0
Sulawesi Utara,2003,43.84
Sulawesi Tengah,2003,38.85
Sulawesi Selatan,2003,47.24
Sulawesi Tenggara,2003,36.64
Gorontalo,2003,45.09
Sulawesi Barat,2003,0
Maluku,2003,33.05
Maluku Utara,2003,0
Papua Barat,2003,0
Papua,2003,30.42
Aceh,2004,41.84
Sumatera Utara,2004,41.39
Sumatera Barat,2004,44.37
Riau,2004,31.27
Jambi,2004,36.95
Sumatera Selatan,2004,36.17
Bengkulu,2004,37.39
Lampung,2004,42.22
Kepulauan Bangka Belitung,2004,25.35
Kepulauan Riau,2004,0
Daerah Khusus Ibukota Jakarta,2004,45.78
Jawa Barat,2004,0
Jawa Tengah,2004,0
Daerah Istimewa Yogyakarta,2004,52.16
Jawa Timur,2004,53.05
Banten,2004,49.7
Bali,2004,54.69
Nusa Tenggara Barat,2004,44.99
Nusa Tenggara Timur,2004,30.06
Kalimantan Barat,2004,29.04
Kalimantan Tengah,2004,25.78
Kalimantan Selatan,2004,34.26
Kalimantan Timur,2004,34.4
Kalimantan Utara,2004,0
Sulawesi Utara,2004,44.07
Sulawesi Tengah,2004,39.94
Sulawesi Selatan,2004,45.98
Sulawesi Tenggara,2004,37.97
Gorontalo,2004,43.21
Sulawesi Barat,2004,0
Maluku,2004,32.39
Maluku Utara,2004,0
Papua Barat,2004,0
Papua,2004,31.76
Aceh,2005,41.78
Sumatera Utara,2005,41.94
Sumatera Barat,2005,44.67
Riau,2005,31.55
Jambi,2005,37.41
Sumatera Selatan,2005,37.01
Bengkulu,2005,34.77
Lampung,2005,42.78
Kepulauan Bangka Belitung,2005,28.44
Kepulauan Riau,2005,0
Daerah Khusus Ibukota Jakarta,2005,49.98
Jawa Barat,2005,0
Jawa Tengah,2005,0
Daerah Istimewa Yogyakarta,2005,51.21
Jawa Timur,2005,53.18
Banten,2005,49.68
Bali,2005,55.28
Nusa Tenggara Barat,2005,45.54
Nusa Tenggara Timur,2005,28.36
Kalimantan Barat,2005,29.06
Kalimantan Tengah,2005,24.18
Kalimantan Selatan,2005,34.79
Kalimantan Timur,2005,35.43
Kalimantan Utara,2005,0
Sulawesi Utara,2005,45.57
Sulawesi Tengah,2005,40.85
Sulawesi Selatan,2005,46.4
Sulawesi Tenggara,2005,37.11
Gorontalo,2005,42.74
Sulawesi Barat,2005,42.48
Maluku,2005,32.84
Maluku Utara,2005,0
Papua Barat,2005,31.58
Papua,2005,32.9
Aceh,2006,42.11
Sumatera Utara,2006,42.66
Sumatera Barat,2006,45.22
Riau,2006,31.53
Jambi,2006,38.73
Sumatera Selatan,2006,37.97
Bengkulu,2006,37.47
Lampung,2006,43.11
Kepulauan Bangka Belitung,2006,28.75
Kepulauan Riau,2006,0
Daerah Khusus Ibukota Jakarta,2006,46.84
Jawa Barat,2006,52.38
Jawa Tengah,2006,52.2
Daerah Istimewa Yogyakarta,2006,53.5
Jawa Timur,2006,53.38
Banten,2006,50.27
Bali,2006,55.85
Nusa Tenggara Barat,2006,45.48
Nusa Tenggara Timur,2006,29.55
Kalimantan Barat,2006,29.3
Kalimantan Tengah,2006,24.26
Kalimantan Selatan,2006,35.38
Kalimantan Timur,2006,35.95
Kalimantan Utara,2006,0
Sulawesi Utara,2006,48.03
Sulawesi Tengah,2006,41.31
Sulawesi Selatan,2006,46.75
Sulawesi Tenggara,2006,37.24
Gorontalo,2006,43.82
Sulawesi Barat,2006,46.79
Maluku,2006,35.94
Maluku Utara,2006,0
Papua Barat,2006,32.21
Papua,2006,34.33
Aceh,2007,42.51
Sumatera Utara,2007,43.53
Sumatera Barat,2007,45.75
Riau,2007,33.3
Jambi,2007,39.14
Sumatera Selatan,2007,39.81
Bengkulu,2007,37.99
Lampung,2007,43.97
Kepulauan Bangka Belitung,2007,27.07
Kepulauan Riau,2007,0
Daerah Khusus Ibukota Jakarta,2007,51.83
Jawa Barat,2007,54.2
Jawa Tengah,2007,53.38
Daerah Istimewa Yogyakarta,2007,53.18
Jawa Timur,2007,54.16
Banten,2007,50.9
Bali,2007,57.9
Nusa Tenggara Barat,2007,45.99
Nusa Tenggara Timur,2007,30.32
Kalimantan Barat,2007,30.64
Kalimantan Tengah,2007,24.49
Kalimantan Selatan,2007,38.63
Kalimantan Timur,2007,36.5
Kalimantan Utara,2007,0
Sulawesi Utara,2007,47.97
Sulawesi Tengah,2007,41.96
Sulawesi Selatan,2007,47.16
Sulawesi Tenggara,2007,38.31
Gorontalo,2007,44.99
Sulawesi Barat,2007,46.93
Maluku,2007,37.21
Maluku Utara,2007,0
Papua Barat,2007,33.75
Papua,2007,35.58
Aceh,2008,42.61
Sumatera Utara,2008,44.63
Sumatera Barat,2008,46.59
Riau,2008,33.44
Jambi,2008,40.67
Sumatera Selatan,2008,41.34
Bengkulu,2008,38.03
Lampung,2008,46.22
Kepulauan Bangka Belitung,2008,24.06
Kepulauan Riau,2008,0
Daerah Khusus Ibukota Jakarta,2008,50.93
Jawa Barat,2008,56.06
Jawa Tengah,2008,55.06
Daerah Istimewa Yogyakarta,2008,56.95
Jawa Timur,2008,59.02
Banten,2008,50.14
Bali,2008,58.37
Nusa Tenggara Barat,2008,48.67
Nusa Tenggara Timur,2008,30.75
Kalimantan Barat,2008,31.2
Kalimantan Tengah,2008,25.41
Kalimantan Selatan,2008,38.52
Kalimantan Timur,2008,37.25
Kalimantan Utara,2008,0
Sulawesi Utara,2008,47.31
Sulawesi Tengah,2008,46.51
Sulawesi Selatan,2008,48.83
Sulawesi Tenggara,2008,39.53
Gorontalo,2008,50.67
Sulawesi Barat,2008,47.36
Maluku,2008,39.61
Maluku Utara,2008,0
Papua Barat,2008,34.48
Papua,2008,35.03
Aceh,2009,43.32
Sumatera Utara,2009,45.91
Sumatera Barat,2009,47.91
Riau,2009,35.57
Jambi,2009,41.4
Sumatera Selatan,2009,41.87
Bengkulu,2009,38.37
Lampung,2009,46.88
Kepulauan Bangka Belitung,2009,24.64
Kepulauan Riau,2009,0
Daerah Khusus Ibukota Jakarta,2009,55.79
Jawa Barat,2009,58.06
Jawa Tengah,2009,55.65
Daerah Istimewa Yogyakarta,2009,57.62
Jawa Timur,2009,59.11
Banten,2009,50.5
Bali,2009,58.47
Nusa Tenggara Barat,2009,49.98
Nusa Tenggara Timur,2009,31.27
Kalimantan Barat,2009,31.05
Kalimantan Tengah,2009,26.98
Kalimantan Selatan,2009,39.93
Kalimantan Timur,2009,38.01
Kalimantan Utara,2009,0
Sulawesi Utara,2009,47.85
Sulawesi Tengah,2009,45.14
Sulawesi Selatan,2009,50.16
Sulawesi Tenggara,2009,41.51
Gorontalo,2009,53.48
Sulawesi Barat,2009,47.82
Maluku,2009,42.29
Maluku Utara,2009,0
Papua Barat,2009,35.27
Papua,2009,37.41
Aceh,2010,44.92
Sumatera Utara,2010,47.47
Sumatera Barat,2010,48.49
Riau,2010,36.83
Jambi,2010,40.86
Sumatera Selatan,2010,42.53
Bengkulu,2010,38.68
Lampung,2010,47.54
Kepulauan Bangka Belitung,2010,27.21
Kepulauan Riau,2010,0
Daerah Khusus Ibukota Jakarta,2010,55.4
Jawa Barat,2010,57.6
Jawa Tengah,2010,56.13
Daerah Istimewa Yogyakarta,2010,56.02
Jawa Timur,2010,59.29
Banten,2010,50.39
Bali,2010,57.11
Nusa Tenggara Barat,2010,47.41
Nusa Tenggara Timur,2010,31.8
Kalimantan Barat,2010,31.37
Kalimantan Tengah,2010,26.27
Kalimantan Selatan,2010,39.1
Kalimantan Timur,2010,39.25
Kalimantan Utara,2010,0
Sulawesi Utara,2010,48.76
Sulawesi Tengah,2010,45.88
Sulawesi Selatan,2010,49.44
Sulawesi Tenggara,2010,42.19
Gorontalo,2010,55.2
Sulawesi Barat,2010,47.8
Maluku,2010,41.08
Maluku Utara,2010,0
Papua Barat,2010,36.19
Papua,2010,38.45
Aceh,2011,46.57
Sumatera Utara,2011,47.62
Sumatera Barat,2011,49.37
Riau,2011,36.89
Jambi,2011,41.07
Sumatera Selatan,2011,43.13
Bengkulu,2011,39.28
Lampung,2011,48.45
Kepulauan Bangka Belitung,2011,28.71
Kepulauan Riau,2011,31.6
Daerah Khusus Ibukota Jakarta,2011,55.23
Jawa Barat,2011,59.22
Jawa Tengah,2011,54.47
Daerah Istimewa Yogyakarta,2011,55.89
Jawa Timur,2011,54.89
Banten,2011,49.11
Bali,2011,56.25
Nusa Tenggara Barat,2011,49.45
Nusa Tenggara Timur,2011,30.3
Kalimantan Barat,2011,30.9
Kalimantan Tengah,2011,28.49
Kalimantan Selatan,2011,41.67
Kalimantan Timur,2011,39.41
Kalimantan Utara,2011,0
Sulawesi Utara,2011,48.83
Sulawesi Tengah,2011,46.96
Sulawesi Selatan,2011,50.74
Sulawesi Tenggara,2011,41.34
Gorontalo,2011,51.87
Sulawesi Barat,2011,47.9
Maluku,2011,41.21
Maluku Utara,2011,36.6
Papua Barat,2011,35.38
Papua,2011,39.45
Aceh,2012,46.12
Sumatera Utara,2012,48.56
Sumatera Barat,2012,49.71
Riau,2012,35.56
Jambi,2012,41.85
Sumatera Selatan,2012,42.81
Bengkulu,2012,40.29
Lampung,2012,48.32
Kepulauan Bangka Belitung,2012,28.01
Kepulauan Riau,2012,34.63
Daerah Khusus Ibukota Jakarta,2012,58.22
Jawa Barat,2012,58.74
Jawa Tengah,2012,57.7
Daerah Istimewa Yogyakarta,2012,61.88
Jawa Timur,2012,61.74
Banten,2012,51.45
Bali,2012,58.09
Nusa Tenggara Barat,2012,49.69
Nusa Tenggara Timur,2012,34.91
Kalimantan Barat,2012,30.39
Kalimantan Tengah,2012,30.01
Kalimantan Selatan,2012,42.05
Kalimantan Timur,2012,39.42
Kalimantan Utara,2012,0
Sulawesi Utara,2012,48.46
Sulawesi Tengah,2012,44.71
Sulawesi Selatan,2012,50.98
Sulawesi Tenggara,2012,41.47
Gorontalo,2012,48.01
Sulawesi Barat,2012,49.21
Maluku,2012,41.13
Maluku Utara,2012,36.91
Papua Barat,2012,39.03
Papua,2012,37.16
Aceh,2013,46.68
Sumatera Utara,2013,50.17
Sumatera Barat,2013,49.82
Riau,2013,36.63
Jambi,2013,43.36
Sumatera Selatan,2013,45.96
Bengkulu,2013,42.17
Lampung,2013,50.26
Kepulauan Bangka Belitung,2013,27.83
Kepulauan Riau,2013,36.15
Daerah Khusus Ibukota Jakarta,2013,58.88
Jawa Barat,2013,59.53
Jawa Tengah,2013,56.06
Daerah Istimewa Yogyakarta,2013,57.88
Jawa Timur,2013,59.15
Banten,2013,52.92
Bali,2013,58.66
Nusa Tenggara Barat,2013,50.08
Nusa Tenggara Timur,2013,32.8
Kalimantan Barat,2013,31.01
Kalimantan Tengah,2013,32.81
Kalimantan Selatan,2013,72.34
Kalimantan Timur,2013,42.7
Kalimantan Utara,2013,34.72
Sulawesi Utara,2013,50.1
Sulawesi Tengah,2013,45.98
Sulawesi Selatan,2013,51.22
Sulawesi Tenggara,2013,42.23
Gorontalo,2013,52.01
Sulawesi Barat,2013,48.8
Maluku,2013,41.74
Maluku Utara,2013,37.57
Papua Barat,2013,39.76
Papua,2013,41.3
Aceh,2014,48.39
Sumatera Utara,2014,50.62
Sumatera Barat,2014,50.06
Riau,2014,36.35
Jambi,2014,45.53
Sumatera Selatan,2014,45.26
Bengkulu,2014,40.2
Lampung,2014,51.18
Kepulauan Bangka Belitung,2014,23.62
Kepulauan Riau,2014,36.44
Daerah Khusus Ibukota Jakarta,2014,53.86
Jawa Barat,2014,58.82
Jawa Tengah,2014,53.57
Daerah Istimewa Yogyakarta,2014,57.87
Jawa Timur,2014,59.81
Banten,2014,52.95
Bali,2014,60.12
Nusa Tenggara Barat,2014,48.8
Nusa Tenggara Timur,2014,33.46
Kalimantan Barat,2014,30.35
Kalimantan Tengah,2014,34.57
Kalimantan Selatan,2014,42.05
Kalimantan Timur,2014,42.55
Kalimantan Utara,2014,36.05
Sulawesi Utara,2014,48.91
Sulawesi Tengah,2014,46.54
Sulawesi Selatan,2014,52.17
Sulawesi Tenggara,2014,46.84
Gorontalo,2014,50.2
Sulawesi Barat,2014,47.65
Maluku,2014,47.52
Maluku Utara,2014,34.01
Papua Barat,2014,40.2
Papua,2014,43.09
Aceh,2015,50.56
Sumatera Utara,2015,51.74
Sumatera Barat,2015,50.25
Riau,2015,36.63
Jambi,2015,44.31
Sumatera Selatan,2015,48.67
Bengkulu,2015,44.92
Lampung,2015,51.49
Kepulauan Bangka Belitung,2015,22.85
Kepulauan Riau,2015,36.46
Daerah Khusus Ibukota Jakarta,2015,55.95
Jawa Barat,2015,61.22
Jawa Tengah,2015,60.25
Daerah Istimewa Yogyakarta,2015,60.65
Jawa Timur,2015,61.13
Banten,2015,56.61
Bali,2015,62.14
Nusa Tenggara Barat,2015,51.71
Nusa Tenggara Timur,2015,35.61
Kalimantan Barat,2015,29.4
Kalimantan Tengah,2015,35.07
Kalimantan Selatan,2015,41.87
Kalimantan Timur,2015,41.2
Kalimantan Utara,2015,27.27
Sulawesi Utara,2015,49.05
Sulawesi Tengah,2015,48.57
Sulawesi Selatan,2015,52.41
Sulawesi Tenggara,2015,47.07
Gorontalo,2015,55.51
Sulawesi Barat,2015,49.41
Maluku,2015,55.72
Maluku Utara,2015,35.11
Papua Barat,2015,42.12
Papua,2015,43.95
Aceh,2016,51.34
Sumatera Utara,2016,52.05
Sumatera Barat,2016,50.9
Riau,2016,37.57
Jambi,2016,45.57
Sumatera Selatan,2016,50.03
Bengkulu,2016,43.29
Lampung,2016,50.46
Kepulauan Bangka Belitung,2016,22.79
Kepulauan Riau,2016,33.8
Daerah Khusus Ibukota Jakarta,2016,53.3
Jawa Barat,2016,60.49
Jawa Tengah,2016,58.73
Daerah Istimewa Yogyakarta,2016,55.82
Jawa Timur,2016,59.84
Banten,2016,56.63
Bali,2016,60.6
Nusa Tenggara Barat,2016,46.49
Nusa Tenggara Timur,2016,35.65
Kalimantan Barat,2016,27.49
Kalimantan Tengah,2016,29.01
Kalimantan Selatan,2016,42.26
Kalimantan Timur,2016,38
Kalimantan Utara,2016,26.75
Sulawesi Utara,2016,50
Sulawesi Tengah,2016,48.26
Sulawesi Selatan,2016,50.72
Sulawesi Tenggara,2016,40.16
Gorontalo,2016,52.1
Sulawesi Barat,2016,45.18
Maluku,2016,46.11
Maluku Utara,2016,32.54
Papua Barat,2016,43.71
Papua,2016,46.26
Aceh,2017,53.04
Sumatera Utara,2017,51.98
Sumatera Barat,2017,52.47
Riau,2017,39.46
Jambi,2017,45.98
Sumatera Selatan,2017,49.43
Bengkulu,2017,44.22
Lampung,2017,50.6
Kepulauan Bangka Belitung,2017,23.09
Kepulauan Riau,2017,32.45
Daerah Khusus Ibukota Jakarta,2017,53.84
Jawa Barat,2017,58.87
Jawa Tengah,2017,56.68
Daerah Istimewa Yogyakarta,2017,55.48
Jawa Timur,2017,57.15
Banten,2017,56.31
Bali,2017,59.09
Nusa Tenggara Barat,2017,49.26
Nusa Tenggara Timur,2017,35.42
Kalimantan Barat,2017,27.54
Kalimantan Tengah,2017,31.51
Kalimantan Selatan,2017,43.02
Kalimantan Timur,2017,42.39
Kalimantan Utara,2017,31.62
Sulawesi Utara,2017,47.93
Sulawesi Tengah,2017,47.08
Sulawesi Selatan,2017,50.93
Sulawesi Tenggara,2017,41.51
Gorontalo,2017,45.36
Sulawesi Barat,2017,47.37
Maluku,2017,40.69
Maluku Utara,2017,30.59
Papua Barat,2017,44.05
Papua,2017,49.09
